row_number,slug,rule_type,expected_verdict
1,de_minimis_ach,transaction-screening,accepted
6,cip_kyc_in_progress,transaction-screening,rejected
10,prohibited_risk_freeze,transaction-screening,rejected
11,ofac_sdn_high_score,transaction-screening,rejected
15,ah_country_kp_residence,transaction-screening,rejected
19,ctr_sub_threshold_structuring,transaction-screening,rejected
27,business_ah_zero_bos,onboarding,rejected
34,ofac_mixer_usdc,transaction-screening,rejected
41,internal_blocklist_lastname,transaction-screening,rejected
53,watchman_unreachable_held,transaction-screening,rejected
